"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[909] NA",0.12751453278,0.126531,0.123615488149159,11696.5,0.95,0.0882718,0.169898,NA,NA,NA,NA,NA,NA,NA
"mu[910] NA",0.2400442438,0.2397195,0.238386491801876,15000,0.95,0.204373,0.27558,NA,NA,NA,NA,NA,NA,NA
"mu[911] NA",0.127766360613333,0.1269795,0.126540584162322,12573.8,0.95,0.0878431,0.166833,NA,NA,NA,NA,NA,NA,NA
"mu[912] NA",0.131941074086667,0.1309,0.129141042720738,11466.2,0.95,0.0923291,0.174184,NA,NA,NA,NA,NA,NA,NA
"mu[913] NA",0.241805527933333,0.2413365,0.240301273364007,14335.1,0.95,0.205185,0.279161,NA,NA,NA,NA,NA,NA,NA
"mu[914] NA",0.12794501278,0.1268435,0.125456261448621,10725.9,0.95,0.0906667,0.170725,NA,NA,NA,NA,NA,NA,NA
"mu[915] NA",0.280915965466667,0.2805195,0.280010612524303,14540.6,0.95,0.246368,0.320442,NA,NA,NA,NA,NA,NA,NA
"mu[916] NA",0.12863670984,0.127925,0.128365285803945,13133.4,0.95,0.0909229,0.165564,NA,NA,NA,NA,NA,NA,NA
"mu[917] NA",0.253163145333333,0.252906,0.253178972709863,15000,0.95,0.20916,0.29723,NA,NA,NA,NA,NA,NA,NA
"mu[918] NA",0.1347001275,0.1339175,0.129601882165443,10826.5,0.95,0.0945369,0.174346,NA,NA,NA,NA,NA,NA,NA
"mu[919] NA",0.235498259333333,0.235197,0.237586511638515,14280.2,0.95,0.187822,0.286034,NA,NA,NA,NA,NA,NA,NA
"mu[920] NA",0.133355092306667,0.1324915,0.132060616307779,12217.4,0.95,0.093157,0.173963,NA,NA,NA,NA,NA,NA,NA
"mu[921] NA",0.246410060733333,0.2462835,0.24765063900601,15430,0.95,0.21706,0.276921,NA,NA,NA,NA,NA,NA,NA
"mu[922] NA",0.243957196133333,0.243752,0.243888545990743,14912.7,0.95,0.208377,0.277561,NA,NA,NA,NA,NA,NA,NA
"mu[923] NA",0.131704396473333,0.131055,0.131490433219022,13273.4,0.95,0.0914603,0.172804,NA,NA,NA,NA,NA,NA,NA
"mu[924] NA",0.257232284333333,0.2570275,0.258279573538928,14544.7,0.95,0.226922,0.287389,NA,NA,NA,NA,NA,NA,NA
"mu[925] NA",0.2295154728,0.2291055,0.228431517396399,15000,0.95,0.191355,0.26985,NA,NA,NA,NA,NA,NA,NA
"mu[926] NA",0.127578698626667,0.126586,0.123089799791788,13057.5,0.95,0.0894218,0.169547,NA,NA,NA,NA,NA,NA,NA
"mu[927] NA",0.233344597733333,0.232634,0.229870345014424,14616.3,0.95,0.188471,0.279295,NA,NA,NA,NA,NA,NA,NA
"mu[928] NA",0.2550811676,0.25475,0.254718425416207,15365,0.95,0.216427,0.293022,NA,NA,NA,NA,NA,NA,NA
"mu[929] NA",0.13259176572,0.131749,0.128991837310167,13012.8,0.95,0.0949866,0.17117,NA,NA,NA,NA,NA,NA,NA
"mu[930] NA",0.129103623213333,0.128215,0.128599498231194,11856.3,0.95,0.089719,0.170726,NA,NA,NA,NA,NA,NA,NA
"mu[931] NA",0.13932112716,0.13844,0.136681175692092,13212.6,0.95,0.100943,0.177727,NA,NA,NA,NA,NA,NA,NA
"mu[932] NA",0.123665605813333,0.12285,0.123800191885321,11915,0.95,0.0864546,0.161851,NA,NA,NA,NA,NA,NA,NA
"mu[933] NA",0.2437000852,0.2432445,0.242777818286884,15000,0.95,0.197963,0.289311,NA,NA,NA,NA,NA,NA,NA
"mu[934] NA",0.291207822733333,0.2910235,0.291501698718902,15000,0.95,0.261601,0.322376,NA,NA,NA,NA,NA,NA,NA
"mu[935] NA",0.129040999713333,0.128074,0.126135434470237,13507,0.95,0.0899488,0.171141,NA,NA,NA,NA,NA,NA,NA
"mu[936] NA",0.12893210192,0.128178,0.125535090570624,13193.7,0.95,0.0888125,0.170556,NA,NA,NA,NA,NA,NA,NA
"mu[937] NA",0.2441624684,0.2438685,0.241882397136636,14393.4,0.95,0.211562,0.275057,NA,NA,NA,NA,NA,NA,NA
"mu[938] NA",0.243972314933333,0.243746,0.240514153679746,15000,0.95,0.210564,0.277678,NA,NA,NA,NA,NA,NA,NA
"mu[939] NA",0.2619411104,0.261789,0.26357077019689,15000,0.95,0.232028,0.290837,NA,NA,NA,NA,NA,NA,NA
"mu[940] NA",0.2810779268,0.2807485,0.279344154037291,15000,0.95,0.241355,0.325147,NA,NA,NA,NA,NA,NA,NA
"mu[941] NA",0.2466884968,0.246048,0.243920382402786,15000,0.95,0.196554,0.298178,NA,NA,NA,NA,NA,NA,NA
"mu[942] NA",0.269566502733333,0.2693915,0.269161883266126,15000,0.95,0.239931,0.299264,NA,NA,NA,NA,NA,NA,NA
"mu[943] NA",0.135257599766667,0.134375,0.134210177678454,12716.2,0.95,0.0962734,0.173791,NA,NA,NA,NA,NA,NA,NA
"mu[944] NA",0.131708818553333,0.1305255,0.12731342721326,11850,0.95,0.0906998,0.172164,NA,NA,NA,NA,NA,NA,NA
"mu[945] NA",0.2746105,0.27439,0.274093014509489,15083.5,0.95,0.245359,0.304605,NA,NA,NA,NA,NA,NA,NA
"mu[946] NA",0.140894153766667,0.1399325,0.137530601196995,12775.3,0.95,0.103331,0.179592,NA,NA,NA,NA,NA,NA,NA
"mu[947] NA",0.120880721393333,0.120196,0.119452198910922,12830.5,0.95,0.083907,0.156143,NA,NA,NA,NA,NA,NA,NA
"mu[948] NA",0.2664065664,0.266095,0.264553995869652,15874.8,0.95,0.237054,0.29683,NA,NA,NA,NA,NA,NA,NA
"omega[1] 1st Base",0.2523481722,0.252339,0.251623107253689,13976.8,0.95,0.243408,0.261223,NA,NA,NA,NA,NA,NA,NA
"omega[2] 2nd Base",0.248965056066667,0.248959,0.248857642575847,14246.5,0.95,0.239587,0.258281,NA,NA,NA,NA,NA,NA,NA
"omega[3] 3rd Base",0.256839387,0.256863,0.257281892871881,14625.6,0.95,0.247507,0.265831,NA,NA,NA,NA,NA,NA,NA
"omega[4] Catcher",0.2396559734,0.2396795,0.239997920516667,13857,0.95,0.230953,0.248535,NA,NA,NA,NA,NA,NA,NA
"omega[5] Center Field",0.257329070866667,0.257348,0.258006738344996,14331,0.95,0.247235,0.267084,NA,NA,NA,NA,NA,NA,NA
"omega[6] Left Field",0.250259174733333,0.2502915,0.250275532858102,13109.9,0.95,0.241651,0.258766,NA,NA,NA,NA,NA,NA,NA
"omega[7] Pitcher",0.127143334866667,0.1270985,0.126089319316654,2769.5,0.95,0.117253,0.13787,NA,NA,NA,NA,NA,NA,NA
"omega[8] Right Field",0.2578814806,0.2579165,0.257978382415783,13971.3,0.95,0.248268,0.268014,NA,NA,NA,NA,NA,NA,NA
"omega[9] Shortstop",0.247585060933333,0.247562,0.247365527475878,14188.8,0.95,0.237598,0.257488,NA,NA,NA,NA,NA,NA,NA
"b:Pitcher.v.Catcher",-0.772567172444344,-0.772282355,-0.766166119327756,2982.4,0.95,-0.8753318,-0.6678752,0,0,NA,NA,NA,NA,NA
"omega:Pitcher.v.Catcher",-0.112512638533333,-0.112563,-0.112642945893025,3817.6,0.95,-0.125299,-0.098602,0,0,NA,NA,NA,NA,NA
"b:Catcher.v.1st Base",-0.068454874595656,-0.068624,-0.0676964072524885,14123.5,0.95,-0.13385883,-0.000132500000000001,0,2.24,NA,NA,NA,NA,NA
"omega:Catcher.v.1st Base",-0.0126921988,-0.012733,-0.0127010686898685,14128.6,0.95,-0.024803,-5.09999999999955e-05,0,2.24,NA,NA,NA,NA,NA
