y[,1] sex[] internet[,1] y[,2] internet[,2]
2.620335 0 1 2.462668 1
2.059944 0 1 2.175237 1
1.058495 0 0 1.20928 0
1.905793 1 0 1.849564 0
1.170086 0 1 1.289948 1
2.600533 1 1 1.918557 1
2.416619 0 1 1.407732 1
1.723472 0 1 2.444648 1
2.377398 1 1 2.485135 1
2.023576 0 1 1.898354 1
1.483595 1 1 2.270622 1
1.435789 0 0 1.204391 1
1.905793 0 1 1.744204 0
2.374059 1 0 2.964472 1
2.377397 0 0 2.611704 1
1.946615 1 1 1.877735 0
1.946615 0 0 2.063523 1
2.639762 1 1 2.86016 1
1.244171 0 1 1.513092 1
1.306917 1 1 1.751487 1
2.051175 1 0 2.020835 0
2.569662 1 1 2.243535 1
1.760513 1 1 2.270778 1
1.435789 1 1 1.877735 1
3.159614 1 1 2.977735 1
1.245436 0 1 1.407732 1
2.600533 1 0 2.649443 1
1.584483 1 0 1.590053 0
1.435789 1 0 1.407732 0
2.041925 1 0 2.572475 1
1.618111 0 0 1.676486 0
1.682649 1 1 1.672941 1
1.212646 1 0 1.474299 0
1.500328 1 1 1.838496 1
1.723471 1 1 1.936576 0
1.930486 0 0 2.745236 1
2.338657 0 1 2.232215 1
2.022094 0 0 2.454692 1
2.606722 0 1 2.682908 1
2.584249 1 1 2.558472 1
3.221117 1 1 2.967979 1
2.059944 0 1 2.291499 1
3.412951 1 1 3.335155 1
1.170086 1 0 2.349339 1
1.500328 0 0 1.47227 0
2.095035 1 0 1.877735 0
1.576131 0 1 1.387202 1
1.723472 1 0 1.790724 0
1.818782 0 0 1.967347 1
1.330429 0 1 1.338739 0
1.971925 1 1 1.773974 1
1.818782 1 0 1.695414 1
2.041925 1 1 1.918557 1
2.552751 0 1 2.524693 1
2.368478 1 0 2.031886 1
1.801358 0 1 1.877735 1
1.435789 1 1 2.206239 1
1.820447 1 1 1.918557 1
2.271593 0 1 2.890283 1
1.212646 1 0 1.744204 0
2.35208 0 1 2.531654 1
1.770236 0 0 2.049585 1
2.045555 1 0 1.877735 0
2.274302 0 0 1.695414 1
2.243856 1 0 2.165417 0
1.366797 0 0 2.36273 0
1.429101 1 0 1.746107 0
2.243856 1 0 2.637017 0
2.505087 0 1 2.545992 1
1.560953 1 0 2.006568 0
1.322994 1 0 1.338739 0
1.818782 1 0 1.790724 1
1.007202 0 0 1.744204 0
2.125598 1 0 1.407732 0
1.366797 0 0 1.338739 0
1.658399 0 1 1.725943 1
1.730944 1 0 2.550009 0
2.544452 1 1 2.013867 1
2.128937 0 1 1.338739 1
2.299425 0 1 3.004746 1
1.58994 0 0 1.559594 0
2.972105 1 1 2.977943 1
2.377389 1 1 2.754592 1
1.079115 0 1 1.980592 1
1.58994 0 0 1.64412 0
2.305687 0 1 2.195583 1
1.863233 1 0 1.890158 0
2.402013 0 1 2.373955 1
