y[,1] y[,2] sex[]
1.684232 1.974635 1
3.224509 3.070542 1
2.531654 2.559712 1
1.47227 2.377098 1
1.984354 1.874879 0
2.589756 2.822084 1
1.784096 3.137615 0
2.2832 1.905793 1
2.180921 1.730944 1
2.377098 1.813197 1
1.366797 1.590053 0
2.483871 1.818782 1
2.223686 2.218777 1
2.497839 2.73569 1
2.08971 1.695414 0
2.128937 1.382658 1
2.167914 1.500328 1
1.500328 2.314453 0
1.500328 2.449185 1
2.128937 1.691406 0
2.224247 2.226042 1
1.957778 2.059944 0
2.349331 2.193475 1
2.388219 2.388561 1
1.957778 2.184056 0
1.695414 1.740329 0
3.001663 2.91921 1
2.059944 2.437351 1
2.296993 3.54648 0
2.128937 1.590053 0
2.09419 2.472706 1
1.838503 2.443747 1
2.061653 2.088115 0
2.611704 2.952462 1
1.913515 2.053088 0
2.088115 1.695414 0
2.173793 2.177482 0
2.21487 2.100879 1
1.950056 1.723472 0
1.744204 2.019866 0
1.292689 1.407732 1
2.231556 2.181642 1
2.258048 2.349339 0
2.936682 2.766051 1
2.707015 2.523997 0
2.7548 3.006001 1
1.874879 2.300787 0
2.382945 2.300085 0
2.413871 2.346936 1
2.298836 2.270778 1
2.645584 2.586783 1
1.877735 1.848635 0
1.695414 1.723472 1
1.348778 1.264631 0
2.243535 1.864971 0
2.507145 2.018641 1
2.041159 2.560663 0
1.78174 1.590053 1
1.656179 1.772262 1
1.94341 1.532895 1
1.837544 2.060057 1
1.506672 1.500328 0
3.006001 2.977943 1
2.437351 2.193475 0
2.066977 1.985836 1
2.243856 1.992662 0
1.88474 2.745361 1
1.946172 2.495176 1
1.877735 2.05581 0
2.544452 2.611704 1
2.050179 1.966342 1
2.413253 2.415055 1
2.311258 2.324022 0
2.465409 2.611704 0
2.836929 2.717065 1
2.33917 2.298034 0
2.100879 2.297272 1
2.400703 2.363243 0
2.756483 2.693942 0
1.560953 1.877735 0
2.413112 2.388561 1
1.879331 1.684243 0
1.723472 2.243968 0
2.760124 2.952462 1
1.914549 2.311258 1
1.618111 2.14074 0
1.233378 1.289607 0
1.610143 1.992662 1
2.418889 2.315452 1
1.618111 1.590053 0
2.7548 2.782858 1
1.264631 1.820598 0
3.986834 4.076559 1
2.054572 2.460881 0
1.830818 2.073424 1
2.531654 2.559712 0
1.435789 1.264631 1
2.651691 2.255029 1
1.059883 1.819399 0
2.310599 2.128937 1
2.398127 2.74044 0
2.978375 1.803371 1
2.936682 2.896189 1
2.013867 2.896189 0
2.977943 2.927444 1
2.23441 2.188138 0
1.838386 1.800774 1
2.215798 2.08971 0
2.374031 2.139724 0
2.677058 1.002266 0
1.401888 2.133668 1
1.264631 1.212646 1
3.47571 4.076559 0
2.324022 2.752198 0
2.940867 2.255029 0
1.658399 1.64412 0
1.895322 1.115595 1
2.434967 2.35208 0
2.175457 2.34933 0
3.042486 2.193475 1
2.243535 2.128937 1
2.844554 2.936682 0
2.524693 2.713867 1
1.618111 1.6803 0
1.500328 1.930791 1
3.853415 2.68779 1
1.64412 1.560953 0
1.631904 1.918557 1
1.744204 1.170086 1
2.110169 1.779379 0
2.031886 2.30289 1
4.104617 2.866036 1
1.695414 2.208979 0
2.2832 2.290914 1
1.820283 1.538647 0
2.494215 2.559712 0
1.483569 1.790724 0
1.366797 1.47227 0
2.310599 2.639762 0
1.695414 1.508549 0
2.977215 1.366797 0
2.215798 2.416619 1
1.584482 1.984354 0
2.377098 3.187193 1
1.504782 2.2832 0
1.771257 2.551462 1
2.717065 2.965181 0
1.366797 1.407732 0
1.403277 1.848341 0
1.407732 1.618111 1
2.126195 2.220874 1
2.011154 1.838509 0
3.881474 2.125896 0
1.22541 1.281639 0
1.173385 2.528323 0
2.154247 2.271367 1
2.34904 1.786446 0
1.918557 1.772262 1
2.060057 1.985836 1
1.20928 1.233265 1
2.374266 2.290491 1
1.723472 2.909955 1
2.793913 2.493921 0
1.985836 2.100879 1
1.957778 1.818782 1
2.570882 2.511929 0
3.157497 3.086073 0
2.717065 1.946615 1
1.957778 1.841254 0
3.070543 3.196635 1
2.822084 3.23664 0
1.805919 1.800774 0
2.879965 2.8474 1
2.128937 2.388561 1
1.841254 1.891802 0
1.695414 1.926412 1
1.643407 1.787217 0
2.611704 1.818782 1
2.611704 2.735072 0
1.665842 2.531578 0
2.865105 2.128937 1
1.788322 1.407732 1
1.330429 1.264631 0
2.238289 2.326863 0
1.366797 2.611704 1
1.925202 2.154243 0
2.416619 2.133668 1
1.8368 1.835176 0
1.937776 2.022557 1
1.782312 1.618533 0
1.544591 1.455592 0
